headword,transliteration,meaning_en,part_of_speech
अमितोदन,amitodana,for a-mft) N,m.
अमित्र,amitra,mf(A) (fr,mf
अमिथित,amithita,not reviled,mfn.
अमिन्,amin,fr. 1. ama),mfn.
अमिन,amina,See am.,
अमिनत्,aminat,1. mi),mfn.
अमिलातक,amilātaka,= a-malataka q.v.,
अमिश्र,amiśra,"unmixed , exclusive (i.e",mfn.
अमिष,amiṣa,= Amiza q.v,
अमीतवर्ण,amītavarṇa,See /a-minat.,
अमीमांसा,amīmāṃsā,man),f.
अमीव,amīva,"am), pain, grief R.",n.
अमु,amu,"a pronom. base, used in the declension of the pronom. ad/as, that (e.g. acc. am/um, am/Um",ind.
अमुक्त,amukta,not loosed,mfn.
अमुतःप्रदान,amutaḥpradāna,an offering from there,n.
अमुख,amukha,[TS.]) or /a-muKa ([S3Br,mfn.
अमुग्ध,amugdha,not foolish,mfn.
अमुद्र,amudra,"having no seal (by which to prove one's self legitimate), MBh.",mfn.
अमूर,amūra,mf(A)n,mf
अमूर्त,amūrta,"formless, shapeless, unembodied S3Br. xiv",mfn.
अमूल,amūla,mf(Acf.Pa1n2,mf
अमृत्पात्रप,amṛtpātrapa,not drinking from a clay vessel MaitrS.,mfn.
अमृत्यु,amṛtyu,"non death, immortality S3Br. xiii",m.
अमृध्र,amṛdhra,See /a-marDat.,
अमृषा,amṛṣā,"not falsely, certainly, surely S3Br. xiv",ind.
अमृष्ट,amṛṣṭa,"mfj), not rubbed or washed, unclean R",mfn.
अमृष्यमाण,amṛṣyamāṇa,"mfz), not-bearing, not tolerating S3Br",mfn.
अमेक्षण,amekṣaṇa,having no mekzaRa,mfn.
अमेघोपप्लव,ameghopaplava,not covered with clouds,mfn.
अमेदस्क,amedaska,"without fat, lean TS.",mfn.
अमेधस्,amedhas,"unintelligent, foolish, an idiot Pa1n2",mfn.
अमेध्य,amedhya,"not able or not allowed to sacrifice, not fit for sacrifice, impure, unholy, nefarious, foul S3Br.",mfn.
अमेन,amena,"having no wife, a widower RV",m.
अमेनि,ameni,"not casting or throwing, not able to throw AV. v, 6, 9 and 10",mfn.
अमेय,ameya,"immeasurable MBh. viii, 1975",mfn.
अमेष्ट,ameṣṭa,See 1,
अमेह,ameha,retention of urine TS.,m.
अमोक्य,amokya,"muc), that can not be unloosed AV",mfn.
अमोक्ष,amokṣa,mokz,mfn.
अमोचन,amocana,"&c , see a-moky/a.",
अमोघ,amogha,mf(A)n,mf
अमोत,amota,woven at home AV.,mfn.
अमोह,amoha,"with Buddhists) freedom from ignorance (one of the three roots of virtue), Dharmas",m.
अमौक्तिक,amauktika,having no pearls,mfn.
अमौत्रधौत,amautradhauta,not washed (by a washerman) with alkaline lye Ka1tyS3r.,mfn.
अमौन,amauna,the state of not being a Munimuni or not keeping the vows of a Munimuni S3Br,n.
अम्णस्,amṇas,= amn/as,ind.
अम्नस्,amnas,"unawares AV. viii, 6, 19",mfn.
अम्ब्,amb,to go L,
अम्ब,amba,See amb/A.,
अम्बक,ambaka,S3ivaSiva's eye Ba1lar,n.
अम्बया,ambayā,See amb/A.,
अम्बर,ambara,"circumference, compass, neighbourhood RV",n.
अम्बरीष,ambarīṣa,mn. a frying pan TS. v,mn.
अम्बर्य,ambarya,Nom. P. ryati,
अम्बष्ठ,ambaṣṭha,"fr. amba and sTa? Pa1n2. 8-3, 97) N. of a country and of its inhabitants MBh.",m.
अम्बा,ambā,Ved. voc. /ambe [VS.] or amba [RV.],f.
अम्बु,ambu,water Naigh.,n.
अम्बुजिनी,ambujinī,a lotus plant,f.
अम्बूकृत,ambūkṛta,ambU used onomatopoetically to denote by trying to utter mb the effect caused by shutting the lips on pronouncing a vowel),mfn.
अम्बेक,ambeka,N. of a Commentator,m.
अम्ब्य,ambya,"a chanter (an error of Sa1y.'s on RV. viii, 72, 5",m.
अम्भ्,ambh,amBate,n.
अम्भस्,ambhas,cf. aBr/a,n.
अम्भिणी,ambhiṇī,for BfRi) f,f.
अम्मय,ammaya,"mf(I)n. (for ap-maya Pa1n2. 4-3, 144 Siddh.), formed from or consisting of water, watery Ragh. x, 59",mf
अम्मरा,ammarā,the second beam of timber over a door,f.
अम्यक्,amyak,"towards, here (Nir",ind.
अम्र,amra,= Amra q.v,m.
अम्ल,amla,"sour, acid Mn",mfn.
अम्लोट,amloṭa,ebony,m.
अम्लान,amlāna,mlE),mfn.
अय्,ay,"= i, only supposed to be a separate root on account of such forms of i, as ayate ([RV",m.
अयक्ष्म,ayakṣma,"mf(/A)n. not consumptive, not sick, healthy VS.",mf
अयक्ष्यमाण,ayakṣyamāṇa,not wishing or not about to institute a sacrifice Jaim.,mfn.
अयज्ञदत्त,ayajñadatta,"not Yajn5a-dattayajYa-datta i.e. the vile Yajn5adattayajYadatta Pa1n2. 6-2, 159",m.
अयत्,ayat,yam),mfn.
अयतत्,ayatat,"yat), not going side by side RV",mfn.
अयथ,ayatha,See col.2.,
अयथा,ayathā,not as it should be,ind.
अयदीक्षित,ayadīkṣita,N. of an author (nephew of Apyaya-di1kshitaapyaya-dIkzita q.v.,m.
अयन,ayana,"See ay, col",
अयन्त्र,ayantra,"non restraint, not a means of restraining RV",n.
अयभ्या,ayabhyā,a woman) with whom one ought not to cohabit AV,f.
अयम्,ayam,this one,m.
अयमित,ayamita,unchecked.,mfn.
अयव,ayava,the dark half of the month VS.,m.
अयव,ayava,"producing bad or no barley Pa1n2. 6-2, 108",mfn.
अयवत्,ayavat,See /aya.,
अयशस्,ayaśas,infamy R.,n.
अयस्,ayas,"iron, metal RV",n.
अयसे,ayase,Ved. Inf. fr. i q.v.,
अया,ayā,fr. pronom. base a = anayA),ind.
अयाचक,ayācaka,"yAc), one who does not ask or solicit [a misspelling for a-pAcaka NBD.",mfn.
अयाज्य,ayājya,"yaj), a person for whom one must not offer sacrifices, outcast, degraded S3Br. xiv",mfn.
अयाट्कार,ayāṭkāra,"pronouncing the word /ayAw (aor. fr. yaj, quoted fr. VS. xxi, 47",m.
अयात,ayāta,not gone AV,mfn.
अयातु,ayātu,not a demon RV,m.
अयात्रा,ayātrā,the state of not being passable (as the sea) R,f.
अयाथातथ्य,ayāthātathya,"= A-yaTAtaTya), the state of being a-yaTAtaTam q.v. Pa1n2. 6-3, 31.",n.
अयाथापुर्य,ayāthāpurya,"= AyaTApurya), the state of being a-yaTApuram q.v",n.
अयाथार्थिक,ayāthārthika,not suitable = a-yaTArTa q.v,mfn.
अयान,ayāna,not moving,n.
अयानय,ayānaya,good and bad luck L.,n.
अयाम,ayāma,not a path TS.,m.
अयाव,ayāva,1. and 2,
अयावन,ayāvana,not causing to mix or to unite RPra1t.,n.
अयाशय,ayāśaya,= ayaH-Saya q.v,mfn.
अयाशु,ayāśu,unfit for copulation AV,mfn.
अयास्,ayās,"2, twice 3 [i.e. E0/As] RV. i, 167, 4 and, vi, 66, 5) mfn. (fr. a + yas?",mfn.
अयासोमीय,ayāsomīya,N. of some verses of the SV. (so called from their beginning with the words ay/A s/oma).,n.
अयि,ayi,a vocative particle (especially used in dramas,ind.
अयिन्,ayin,only ifc,mfn.
अयुक्छद,ayukchada,"&c , see a-y/uj.",mfn.
अयुत,ayuta,1. yu),mfn.
अयुत,ayuta,"[as m. only MBh. iii, 801]), unjoined, unbounded , ten thousand, a myriad RV.",n.
अयुद्ध,ayuddha,"yuD), unconquered, irresistible RV",mfn.
अयुपित,ayupita,not confused or troubled MaitrS.,mfn.
अयुवमारिन्,ayuvamārin,[NBD.]) where no young people die AitBr.,mfn.
अयूथिक,ayūthika,separated from the herd or flight,mfn.
अयूप,ayūpa,not a sacrificial post Jaim.,m.
अये,aye,"a vocative particle, an interjection (of surprise, recollection, fatigue, fear, passion, especially used in dramas, cf",ind.
अयोग,ayoga,[NBD.]) = ayogava MBh,m.
अयोद्धृ,ayoddhṛ,"&c , see /a-yudDa.",
अयोनि,ayoni,f. any place other than the pudendum muliebre S3Br.,m.
अयौधिक,ayaudhika,See /a-yudDa.,
अय्मन्,ayman,ay) = saMgrAma,n.
अर,ara,"f), swift, speedy L.",mfn.
अरक्त,arakta,"undyed, Mn",mfn.
अरक्षत्,arakṣat,1. rakz),mfn.
अरक्षस्,arakṣas,3. rakz),mfn.
अरगराट,aragarāṭa,? a valley) AV,m.
अरंकृ,araṃkṛ,"&c , see /aram.",
अरङ्गिन्,araṅgin,passionless L.,mfn.
अरजनीकृत,arajanīkṛta,not coloured or dyed,mfn.
अरजोवित्ता,arajovittā,not yet having the monthly courses,f.
अरज्जु,arajju,not having or consisting of cords [ not a cord or rope NBD.,mfn.
अरटु,araṭu,the tree Colosanthes Indica Bl,m.
अरडा,araḍā,N. of a goddess Gobh.,f.
अरण,araṇa,"mf(I)n. ( f), foreign, distant RV.",mf
अरण,araṇa,without fighting (as death i.e,mfn.
अरणाविहारिन्,araṇāvihārin,"dwelling in virtue (others, dwelling in a forest), Buddh",mfn.
अरणि,araṇi,"discomfort, pain AV",f.
अरण्य,araṇya,fr. 1. /araRa,n.
अरत,arata,ram),mfn.
अरति,arati,ri cf,m.
अरत्नि,aratni,"the elbow RV. v, 2,1 (according to the emendation of BR.",m.
अरत्निन्,aratnin,not possessing wealth or precious things TBr.,mfn.
अरथ,aratha,having no car RV.,mfn.
अरन्तुक,arantuka,N. of a Ti1rthatIrTa MBh. iii,m.
अरन्तोस्,arantos,See a-rata.,
अरप,arapa,unhurt VS,mfn.
अरपचन,arapacana,a mystical collective N,m.
अरम्,aram,f ;,ind.
अरममाण,aramamāṇa,"&c , see a-rata.",
अरमुडि,aramuḍi,a king of Nepal Ra1jat.,m.
अरर,arara,a covering,n.
अरराका,ararākā,or ararakA) f,f.
अररका,ararakā,or ararAkA) f,f.
अररिन्द,ararinda,a vessel or a utensil used in preparing the Somasoma juice RV,n.
अररिवस्,ararivas,m(nom. vAn,m
अररे,arare,a vocative particle (expressing haste) L.,ind.
अरर्य,ararya,"Nom. P. ryati, to work with an awl (/ArA, q.v.",
अरलु,aralu,= arawu q.v. Kaus3.,m.
अरव,arava,noiseless.,mfn.
अरविन्द,aravinda,fr. ara and vinda Pa1n2. 3-1,n.
अरशन,araśana,having no girdle,mfn.
अरश्मन्,araśman,m(nom,m
अरस,arasa,mf(/A)n,mf
अरसीठक्कुर,arasīṭhakkura,N. of a poet (mentioned in S3a1rn3gadharaSArNgaDara's anthology).,m.
अरहस्,arahas,"absence of secrecy Pa1n2. 3-1, 12",n.
अरा,arā,"= /ArA), an awl Comm",f.
अराक्षस,arākṣasa,freed from Ra1kshasasrAkzasas,mfn.
अराग,arāga,unimpassioned,mfn.
अराजन्,arājan,not a king S3Br,m.
अराटकी,arāṭakī,N. of a plant AV. iv,f.
अराड,arāḍa,mf(/I)n,mf
अराण,arāṇa,aor. p. f q.v.,
अराणि,arāṇi,or arAli m,m.
अरालि,arāli,or arARi m,m.
अराति,arāti,non liberality,f.
अराद्धि,arāddhi,"ill-success, mischance VS",f.
अराय,arāya,id. RV. viii,mfn.
अराल,arāla,"cf. ar/a, fr. f",mfn.
अरालि,arāli,v.l. for araRs q.v.,
अरावन्,arāvan,not liberal,mfn.
अरावन्,arāvan,"= arvan, a steed, horse ([NBD.",m.
अराष्ट्र,arāṣṭra,"am, and n",n.
अरि,ari,"f), attached to faithful RV.",mfn.
अरि,ari,rA ; = ar/i,mfn.
अरिक्त,arikta,not empty Ka1tyS3r.,mfn.
अरितृ,aritṛ,"f), a rower RV",m.
अरिन्,arin,See ara.,n.
अरिप्र,aripra,mf(/A)n,mf
अरिफित,ariphita,said of the Visargavisarga) not changed into r Pra1t.,mfn.
अरिषण्य,ariṣaṇya,"not failing, certain, to be depended upon RV",mfn.
अरीळ्ह,arīḻha,"for /a-rIQa, rih = lih), not licked RV",mfn.
अरीण,arīṇa,not wanting,mfn.
अरीति,arīti,in rhetoric) deficiency of style,f.
अरीहण,arīhaṇa,the first N,m.
अरु,aru,the sun L.,m.
अरुग्ण,arugṇa,unbroken RV,mfn.
अरुच्,aruc,lightless RV,mfn.
अरुज्,aruj,and a-ruja,
अरुण,aruṇa,mf(/A [RV,mf
अरुतहनु,arutahanu,one whose cheeks or jaws are not broken RV,mfn.
अरुद्ध,aruddha,not hindered.,mfn.
अरुंतुद,aruṃtuda,See aru.,
अरुन्धती,arundhatī,a medicinal climbing plant AV.,f.
अरुन्मुख,arunmukha,pl. (an irregular form developed fr. arur-maGa below) N. of certain Yatisyatis KaushUp.,m.
अरुल,arula,water,n.
अरुश,aruśa,N. of a Tantratantra.,n.
अरुष्,aruṣ,not angry,mfn.
अरुष,aruṣa,"mf(/aruzI RV. i, 92, 1 and 2",mf
अरुस्,arus,wounded,mfn.
अरुहा,aruhā,N. of a plant L.,f.
अरूक्ष,arūkṣa,soft MaitrS.,mfn.
अरूढमूलत्व,arūḍhamūlatva,state of not having taken root,n.
अरूप,arūpa,"mf(A)n. formless, shapeless PBr.",mf
अरूष,arūṣa,for aruza m,m.
अरे,are,interjection of calling VS.,ind.
अरेणु,areṇu,not dusty (said of the gods and their cars and roads) RV.,mfn.
अरेतस्,aretas,not receiving seed S3Br,mfn.
अरेप,arepa,= a-repas,mfn.
अरेपस्,arepas,spotless RV.,mfn.
अरेफ,arepha,See a-riPita.,
अरेरे,arere,probably are 're,ind.
अरोक,aroka,ruc),mfn.
अरोग,aroga,mf(A)n,mf
अरोदन,arodana,not weeping.,n.
अरोध्य,arodhya,2. ruD),mfn.
अरोपण,aropaṇa,ruh),n.
अरोम,aroma,mf(A)n,mf
अरोष,aroṣa,"freedom from anger, gentleness MBh",m.
अरोहिणीक,arohiṇīka,without Rohin2i1rohiRI Katha1s.,mfn.
अरौद्र,araudra,not formidable.,mfn.
अर्क्,ark,See arkaya,
अर्क,arka,"arc), Ved",m.
अर्ग,arga,N. of a R2ishifzi of the SV. (with the patron. AuravaOrava) .,m.
अर्गट,argaṭa,N. of a poet,m.
अर्गड,argaḍa,in the word s/Argaqa q.v.) v.l,
अर्गल,argala,a wooden bolt or pin for fastening a door or the cover of a vessel Ragh,mfn.
अर्घ्,argh,"to be worth, be of value, Pan5cat.",
अर्घ,argha,arh),m.
अर्घट,arghaṭa,-parGawa q.v.) ashes L.,n.
अर्च्,arc,cl.1. P. /arcati (Subj. /arcAt impf. /Arcat,m.
अर्ज्,arj,"cl.1 P. arjati (perf. 3. pl. AnarjuH) to procure, acquire Naish. and Bhat2t2. : A1. arjate, to go L., to stand firm L., to procure L.",mfn.
अर्जुन,arjuna,"cf. fjr/a and raj) white, clear (the colour of the day RV. vi, 9, 1",mfn.
अर्ण,arṇa,"mn. a wave, flood stream RV.",mn.
अर्तगल,artagala,= Arta-gala q.v,m.
अर्तन,artana,"ft), reviling ([BR.",mfn.
अर्ति,arti,"= Arti, pain Sus3r.",f.
अर्तिका,artikā,an elder sister (in theatrical language) L,f.
अर्थ्,arth,"cl.10 A1. arTayate (2. du. arTayAse RV. x, 106, 7",
अर्थ,artha,"mn. ([in RV. i-ix only n. Page90,3",mn.
अर्द्,ard,Ved. cl.6 P. (Imper. 3. pl. fdantu,mfn.
अर्दिधिषु,ardidhiṣu,fD Desid.),mfn.
अर्ध,ardha,Ved. side,m.
अर्धुक,ardhuka,"fD), prospering S3Br.",mfn.
अर्पय,arpaya,Caus,mf
अर्पिस,arpisa,the heart Un2.,m.
अर्ब्,arb,cl.1 P. arbati (perf. Anarba L.) to go L.,
अर्बुक,arbuka,pl. N. of a people MBh. ii,m.
अर्बुद,arbuda,"Ved. a serpent-like demon (conquered by Indraindra, a descendant of Kadru1kadrU therefore called Ka1draveyakAdraveya S3Br. AitBr.",m.
अर्भ,arbha,mf(A)n,mf
अर्म,arma,"pl. ruins, rubbish VS. xxx, 11",m.
अर्य,arya,"2, once 3 RV",mfn.
अर्व्,arv,cl.1 P,
अर्व,arva,and arvaRa,mfn.
अर्वाच्,arvāc,"v/AN,v/AcI,v/Ak, Ved",mfn.
अर्वावत्,arvāvat,proximity RV.,f.
अर्वावसु,arvāvasu,N. of a Hotr2ihotf or Brahmanbrahman of the gods S3Br.,m.
अर्वुक,arvuka,v.l. for arbuka q.v.,
अर्श,arśa,"fS), damage , see /anarSa-rAti, (for arSas) hemorrhoids, piles L.",m.
अर्षण,arṣaṇa,or arzaRin mfn,mfn.
अर्षणिन्,arṣaṇin,or arzaRa mfn,mfn.
अर्षणी,arṣaṇī,2. fz),f.
अर्ष्टृ,arṣṭṛ,"fj, or 2. fz?) -= ArtaM gacCat (Comm.) , falling into misery TS.",mfn.
अर्ह्,arh,"rarely A1. arhate ([MBh. iii, 1580 R.]), (p. /arkat [see below]",mf
अर्हरिष्वणि,arhariṣvaṇi,said of Indraindra) exultant [formed by irregular redupl. of hfz BR.,mfn.
अर्हसान,arhasāna,the moon,m.
अल्,al,to adorn L.,
अल,ala,the sting in the tail of a scorpion (or a bee) L,n.
अलक,alaka,mn. (ifc. f(A).) a curl,mn.
अलकम्,alakam,"in vain, for nothing RV",ind.
अलक्त,alakta,said to be for arakta),m.
अलक्षण,alakṣaṇa,"lakz), a bad, inauspicious sign Mn",n.
अलक्ष्मी,alakṣmī,evil fortune,f.
अलखान,alakhāna,N. of a king of Gurjaragurjara Ra1jat.,m.
अलगर्द,alagarda,and rDa,
अलग्न,alagna,lag),mfn.
अलघु,alaghu,not light,mfn.
अलंकरण,alaṃkaraṇa,-kAr/a &c,
अलङ्घन,alaṅghana,not surmounting,n.
अलज,alaja,a kind of bird VS,m.
अलजि,alaji,inflammation of the eye (at the edge of the cornea) AV,f.
अलज्ज,alajja,mf(ANaish.)n,mf
अलञ्जर,alañjara,= aliYjara q.v,
अलंजुष,alaṃjuṣa,See /alam.,
अलति,alati,a kind of song L.,m.
अलंतम,alaṃtama,-tarAm,
अलपत्,alapat,"not chattering, not speaking nonsense AV",mfn.
अलब्ध,alabdha,unobtained.,mfn.
अलम्,alam,"later form of /aram q.v.), enough, sufficient, adequate, equal to, competent, able",ind.
अलम्पट,alampaṭa,not libidinous,mfn.
अलम्बुष,alambuṣa,the palm of the hand with the fingers extended L.,m.
अलम्म,alamma,N. of a R2ishifzi PBr.,m.
अलय,alaya,"lI), non-dissolution, permanence R",m.
अलयस्,alayas,See 2,
अलर्क,alarka,a mad dog or one rendered furious Sus3r.,m.
अलर्ति,alarti,3. sg.) and alarzi (2. sg.),mfn.
अललाभवत्,alalābhavat,said of the waters) sounding cheerfully RV,mfn.
अलले,alale,cf. arare),ind.
अलवण,alavaṇa,not salt Pa1n2,mfn.
अलवस्,alavas,See 2,
अलवाल,alavāla,= AlavAla q.v,m.
अलवालक,alavālaka,= AlavAla q.v,m.
अलस्,alas,las),mfn.
अलस,alasa,"mf(A)n. inactive, without energy, lazy, idle, indolent, tired, faint S3Br.",mf
अलसाला,alasālā,? AV,f.
अलाक,alāka,= alarka) the plant Calotropis Gigantea Car.,m.
अलाघव,alāghava,"with manasaH) no ease or relief of conscience, Mn",n.
अलाञ्छन,alāñchana,spotless Ba1lar.,mfn.
अलाण्डु,alāṇḍu,N. of a noxious animal AV. ii,m.
अलात,alāta,"a fire-brand, coal MBh",n.
अलातृण,alātṛṇa,"lA = rA? BR.) not granting anything, miserly RV",mfn.
अलाबु,alābu,the bottle-gourd (Lagenaria Vulgaris Ser) Sus3r,f.
अलाभ,alābha,non-acquirement Mn,m.
अलायुध,alāyudha,See ala.,
अलाय्य,alāyya,4) mfn. a N. of Indraindra ([BR.,mfn.
अलार,alāra,a kind of Aloe plant L.,m.
अलास,alāsa,inflammation and abscess at the root of the tongue Sus3r.,m.
अलास्य,alāsya,See a-las/a above.,mfn.
अलि,ali,"for alin, fr",m.
अलि,ali,"in the Apabhran6s3aapaBraMSa dialect) for ari, enemy (pl",m.
अलिंश,aliṃśa,a kind of demon AV,m.
अलिक,alika,= alIka,m.
अलिक्लव,aliklava,a kind of carrion bird AV,m.
अलिगर्द,aligarda,"and -garDa , see 1",
अलिगु,aligu,N. of a man,m.
अलिङ्ग,aliṅga,absence of marks Comm,n.
अलिञ्जर,aliñjara,a small earthen water-jar MBh,m.
अलिन,alina,pl. N. of a tribe RV. vii,m.
अलिन्द,alinda,ifc. f(I). g. gOrAdi q.v.) a terrace before a house-door S3a1k. &c,m.
अलिपक,alipaka,= 1 ali above ) a bee L.,m.
अलिपि,alipi,unstained (and unwritten),mfn.
अलिप्सा,alipsā,freedom from desire.,f.
अलीक,alīka,mf(ANaish.)n,mf
अलीगर्द,alīgarda,= ali-garda q.v,
अलु,alu,= Alu q.v.) a small water-pot L.,f.
अलुञ्च,aluñca,not plucking or tearing,mfn.
अलुप्त,alupta,not cut off,mfn.
अलुब्ध,alubdha,not covetous,mfn.
अलुम,aluma,said to be fr,m.
अलूक्ष,alūkṣa,"= /a rUkza q.v.) not harsh, soft, greasy TUp",mfn.
अलून,alūna,uncut,mfn.
अले,ale,or alele ind,ind.
अलेले,alele,or ale ind,ind.
अलेप,alepa,= prec.,m.
अलेश,aleśa,not little,mfn.
अलोक,aloka,"not the world , the end of the world R",m.
अलोप,alopa,not dropping (as a letter or syllable) La1t2y.,m.
अलोमक,alomaka,"[TS.]) or a-l/amaka ([S3Br.]) mf(Ved. makA, class. mikA [Mn. iii, 8",mf
अलोल,alola,unagitated,mfn.
अलोह,aloha,not made of iron MBh,mfn.
अलोहित,alohita,[TS.]) or a-l/ohita ([S3Br,mfn.
अलौकिक,alaukika,See a-loka.,
अल्ग,alga,du. the groin VS. xxv,m.
अल्गण्डु,algaṇḍu,v.l. for al/ARqu (q.v.).,
अल्प,alpa,mf(A)n,mf
अल्लट,allaṭa,N. of the author of the last part of the Kpr.,m.
अल्ला,allā,voc. alla),f.
अल्लाडलहरी,allāḍalaharī,N. of a Comm. on the Kir.,f.
अल्लापदीन,allāpadīna,"= $, N",m.
अव्,av,"cl.1 P. /avati (Imper. 2. sg. avatAt RV. viii, 2, 3, p. /avat",m.
अव,ava,"as a prefix to verbs and verbal nouns expresses) off, away, down RV",ind.
अव,ava,"only gen. du. av/or with vAm, of you both , corresponding to s/a tv/am, thou , &c) , this RV. vi, 67, 11",
अवऋति,avaṛti,"for /ava-rti, q.v",
अवंश,avaṃśa,a low or despised family,m.
अवक,avaka,a grassy plant growing in marshy land (Blyxa Octandra Rich.,m.
अवकट,avakaṭa,"formed like ut-kawa, pra-kawa, vi-kawa, saM-kawa) Pa1n2",mfn.
अवकर,avakara,See ava-kF.,
अवकर्णय,avakarṇaya,Nom. P. yati,
अवकर्त,avakarta,"&c , see ava-kft.",
अवकलन,avakalana,burning with Kus3akuSa grass,n.
अवकलित,avakalita,2. kal),mfn.
अवकल्कन,avakalkana,mingling,n.
अवकल्पित,avakalpita,See ava-kxp.,
अवकाङ्क्ष्,avakāṅkṣ,"to desire, long for Car.",
अवकाश्,avakāś,"-kASate, to be visible, be manifest S3Br. : Caus. P. -kASayati (fut. p. -kASayizyat) to cause to look at S3Br.",m.
अवकिरण,avakiraṇa,See ava- 1,
अवकीलक,avakīlaka,a peg or plug MBh,m.
अवकुञ्चन,avakuñcana,curving,n.
अवकुट्,avakuṭ,ind.p,
अवकुटार,avakuṭāra,cf. ava-kawa) Pa1n2. 5-2,mfn.
अवकुण्ठन,avakuṇṭhana,= ava-guRWana q.v.) investing,n.
अवकुत्स्,avakuts,to blame,n.
अवकुष्,avakuṣ,to rub downwards L.,
अवकूज्,avakūj,Opt. -kUjet) to make a sound,
अवकूल्,avakūl,to singe,
अवकृ,avakṛ,ind,mfn.
अवकृत्,avakṛt,ind.p. -kftya) to cut off S3Br.,m.
अवकृश्,avakṛś,Caus,
अवकृष्,avakṛṣ,-karzati (ind.p. -kfzya,n.
अवकॄ,avakṝ,-kirati (impf. avAkirat,m.
अवकॢप्,avakḷp,"-kalpate, to correspond to, answer, be right TS. &c",mfn.
अवकेश,avakeśa,having the hair hanging down AV,mfn.
अवकोकिल,avakokila,= avakruzwaH kokilayA) called down to by the koi0lkoil (singing in a tree above ? ) Pa1n2,mfn.
अवकोल्ब,avakolba,See /avaka.,
अवक्तव्य,avaktavya,"not to be said, indescribable Nr2isUp",mfn.
अवक्र,avakra,"not crooked, straight A1s3vS3r",mfn.
अवक्रक्षिन्,avakrakṣin,cf. kr/akzamARa) rushing down RV. viii,mfn.
अवक्रगमिता,avakragamitā,"having a straight gait (one of the 80 minor marks of a BuddhabudDa), Dharmas",f.
अवक्रन्द्,avakrand,"Imper. -krandatu, 2. sg. -kranda",m.
अवक्रम्,avakram,"Opt., -krAmet) to step down upon (acc.) TA1r.",n.
अवक्रिया,avakriyā,See ava- 1,
अवक्री,avakrī,"only A1. -kriRIte (Pa1n2. 1-3, 18",m.
अवक्रीड्,avakrīḍ,A1. to play (?) L.,
अवक्रुष्ट,avakruṣṭa,called down to,mfn.
अवक्लिन्नपक्व,avaklinnapakva,"trickling because of being over-ripe, (g",mfn.
अवक्वण,avakvaṇa,a discordant or false note L.,m.
अवक्वाथ,avakvātha,imperfect digestion or decoction L.,m.
अवक्षर्,avakṣar,Caus,
अवक्षालन,avakṣālana,2. kzal),n.
अवक्षि,avakṣi,Pot. -kziRuyAt) to remove La1t2y.,m.
अवक्षिप्,avakṣip,"-kzipati (Subj. -kzi p/at RV. iv, 27, 3",mfn.
अवक्षुत,avakṣuta,"sneezed upon Mn. iv, 213 and v, 125",mfn.
अवक्षुद्,avakṣud,ind.p,
अवक्षै,avakṣai,only p.p.,mfn.
अवक्ष्णु,avakṣṇu,I. sg. -kzROmi) to rub off,
अवखण्ड्,avakhaṇḍ,"-KaRqayati, to break into pieces BhP.",n.
अवखाद,avakhāda,"a devourer, destroyer ([Gmn.]), or mfn. devouring, destroying ([NBD.",m.
अवख्या,avakhyā,Imper. 2. pl. -Ky/ata,
अवगण्,avagaṇ,ind.p,n.
अवगण,avagaṇa,"separated from one's companions, isolated MBh",mfn.
अवगण्ड,avagaṇḍa,= yuva-gaRqa q.v.) a boil or pimple upon the face L.,m.
अवगथ,avagatha,See ava- 1,
अवगदित,avagadita,unsaid L.,mfn.
अवगध,avagadha,pl. N. of a people AitA1r.,m.
अवगम्,avagam,-gacCati (Subj. -g/acCAt,mfn.
अवगर्हित,avagarhita,despised R,mfn.
अवगल्,avagal,"impf. avAgalat) to fall down, slip down ,S3is3. viii, 34",mfn.
अवगल्भ्,avagalbh,"-galBateor-galBayate, to be brave, valiant Pa1n2. 3-1, 15",
अवगा,avagā,"aor. Subj. -gat) to pass away, be wanting AV. xii, 3, 46, (aor. 2. sg. -g/As, 3. sg. avAgAt) to go to, join with (instr.) RV. i, 17 74, 4",mfn.
अवगाण,avagāṇa,pl. N. of a people (the modern Afgha1nsAfghans) VarBr2S.,m.
अवगाह्,avagāh,"-gAhate (ind.p. -gAhya Kum. i, 1, &c",mfn.
अवगीत,avagīta,gas),mfn.
अवगीथ,avagītha,early recitation at a sacrifice,n.
अवगुण,avaguṇa,deficient in good qualities (See ava-gaRa).,mfn.
अवगुण्ठ्,avaguṇṭh,-guRWayati (ind.p,n.
अवगुण्डित,avaguṇḍita,pounded,mfn.
अवगुर्,avagur,"Pot. -guret Mn. iv, 169",n.
अवगुह्,avaguh,"-gUhati ([AV. xx, 133, 4 S3Br.]), te ([Ka1tyS3r. &c]) , to cover, hide, conceal, put into or inside",n.
अवगॄ,avagṝ,"only A1. (Pa1n2. 1-3, 51 [p. -giramARa Bhat2t2.",mfn.
अवगै,avagai,See ava-gIta.,
अवग्रह्,avagrah,"-gfhRAti (Pot. -gfh RIyAt) to let loose, let go La1t2y.",mfn.
अवघट्ट्,avaghaṭṭ,"Caus. (p. -Gawwayat) to push away, push open R. v, 15, 10 (Gorresio)",m.
अवघात,avaghāta,"&c , see ava-han.",
अवघुष्,avaghuṣ,Pass,mfn.
